person_age,monthly_income_sar,home_ownership,employment_status,loan_amnt_sar,loan_int_rate,loan_percent_income,monthly_obligation_sar,dbr,eligible_sama
22,22483.75,rent,employee,131250.0,16.02,0.49,15513.79,0.69,0
21,3838.12,own,employee,3750.0,11.14,0.08,307.05,0.08,1
25,3886.88,mortgage,employee,20625.0,12.87,0.44,1710.22,0.44,0
23,24922.81,rent,employee,131250.0,15.23,0.44,15950.6,0.64,0
24,20667.19,rent,employee,131250.0,14.27,0.53,15087.05,0.73,0
21,4047.19,own,employee,9375.0,7.14,0.19,768.97,0.19,1
26,29209.69,rent,employee,131250.0,12.42,0.37,16649.52,0.57,0
24,29859.38,rent,employee,131250.0,11.11,0.37,17019.84,0.57,0
24,31463.75,rent,employee,131250.0,8.9,0.35,17305.06,0.55,0
21,3980.94,own,employee,6000.0,14.74,0.13,517.52,0.13,1
22,32182.81,rent,employee,131250.0,10.37,0.34,17378.72,0.54,0
21,4097.81,own,employee,16875.0,8.63,0.34,1393.26,0.34,0
23,35893.75,rent,employee,131250.0,7.9,0.3,17946.88,0.5,0
26,40847.81,rent,employee,131250.0,18.39,0.27,19198.47,0.47,0
23,43436.88,rent,employee,131250.0,7.9,0.25,19546.59,0.45,0
23,187778.44,mortgage,employee,112500.0,10.65,0.05,9388.92,0.05,1
23,45294.69,rent,employee,131250.0,7.9,0.24,19929.66,0.44,0
23,34802.81,rent,employee,131250.0,20.0,0.31,17749.43,0.51,0
23,42696.25,rent,employee,131250.0,18.25,0.26,19640.28,0.46,0
24,4463.44,mortgage,employee,6562.5,10.99,0.12,535.61,0.12,1
25,61161.88,rent,employee,131250.0,7.49,0.18,23241.51,0.38,0
25,51810.0,rent,employee,130500.0,16.77,0.21,21242.1,0.41,0
22,24767.19,rent,employee,127500.0,17.58,0.43,15603.33,0.63,0
24,4333.12,own,employee,5625.0,7.29,0.11,476.64,0.11,1
22,30443.75,rent,employee,127312.5,14.54,0.35,16744.06,0.55,0
24,25763.44,rent,employee,123750.0,12.68,0.4,15458.06,0.6,0
21,4465.0,mortgage,employee,17156.25,17.74,0.32,1428.8,0.32,1
23,4466.56,own,employee,5250.0,9.32,0.1,446.66,0.1,1
24,24704.38,rent,employee,121875.0,9.99,0.41,15069.67,0.61,0
21,4683.75,other,employee,15000.0,12.84,0.27,1264.61,0.27,1
21,4643.12,own,employee,7500.0,11.12,0.13,603.61,0.13,1
25,45267.19,rent,employee,120000.0,6.62,0.22,19012.22,0.42,0
26,35826.56,rent,employee,116437.5,14.17,0.27,16838.48,0.47,0
25,115035.94,rent,employee,90937.5,13.85,0.07,31059.7,0.27,1
26,112836.25,mortgage,employee,29250.0,13.49,0.02,2256.72,0.02,1
21,4734.38,own,employee,9375.0,7.51,0.17,804.84,0.17,1
22,18396.25,rent,employee,112500.0,18.39,0.51,13061.34,0.71,0
24,24383.12,rent,employee,112500.0,14.54,0.38,14142.21,0.58,0
25,28370.31,rent,employee,112500.0,16.89,0.33,15036.27,0.53,0
23,27128.44,rent,employee,112500.0,11.01,0.35,14920.64,0.55,0
26,23594.69,rent,employee,112500.0,17.99,0.4,14156.81,0.6,0
24,4713.12,own,employee,9375.0,12.69,0.17,801.23,0.17,1
26,112904.06,mortgage,employee,75000.0,7.88,0.06,6774.24,0.06,1
23,112983.44,own,employee,90937.5,19.41,0.07,7908.84,0.07,1
26,112712.5,own,employee,37500.0,10.38,0.03,3381.38,0.03,1
26,112805.31,mortgage,employee,93750.0,15.33,0.07,7896.37,0.07,1
25,112888.75,mortgage,employee,67500.0,16.45,0.05,5644.44,0.05,1
26,30696.88,rent,employee,112500.0,7.49,0.31,15655.41,0.51,0
22,25261.88,rent,employee,112500.0,12.69,0.37,14399.27,0.57,0
26,33736.56,rent,employee,112500.0,6.62,0.28,16193.55,0.48,0
24,29577.81,rent,employee,112500.0,11.01,0.32,15380.46,0.52,0
23,29546.88,rent,employee,112500.0,18.62,0.32,15364.38,0.52,0
23,34735.31,rent,employee,112500.0,15.23,0.27,16325.6,0.47,0
23,36640.62,rent,employee,112500.0,10.65,0.26,16854.69,0.46,0
25,45307.81,rent,employee,112500.0,7.9,0.21,18576.2,0.41,0
26,105354.06,rent,employee,37500.0,15.96,0.03,24231.43,0.23,1
26,104239.38,rent,employee,75000.0,11.48,0.06,27102.24,0.26,1
23,104187.19,own,employee,131250.0,11.01,0.1,10418.72,0.1,1
25,48372.81,rent,employee,112500.0,7.29,0.19,18865.4,0.39,0
