accountNumber,ds,category,amount
101380713,2016-01,shopping_retail,478.14
101380713,2016-01,transportation_fuel,442.67
101380713,2016-02,transportation_fuel,354.03999999999996
101380713,2016-03,shopping_retail,589.0899999999999
101380713,2016-03,transportation_fuel,229.24
101380713,2016-04,shopping_retail,220.72
101380713,2016-04,transportation_fuel,758.63
101380713,2016-05,shopping_retail,1690.11
101380713,2016-05,transportation_fuel,1068.14
101380713,2016-06,shopping_retail,1047.77
101380713,2016-06,transportation_fuel,752.0200000000001
101380713,2016-07,shopping_retail,510.67
101380713,2016-07,transportation_fuel,454.19
101380713,2016-08,dining_cafes,271.04
101380713,2016-08,shopping_retail,1353.17
101380713,2016-08,transportation_fuel,961.97
101380713,2016-09,shopping_retail,1237.79
101380713,2016-09,transportation_fuel,320.03
101380713,2016-10,shopping_retail,1276.59
101380713,2016-10,transportation_fuel,623.6800000000001
101380713,2016-11,shopping_retail,715.73
101380713,2016-11,transportation_fuel,1537.1899999999998
101380713,2016-12,shopping_retail,43.52
101380713,2016-12,transportation_fuel,784.46
102980467,2016-01,subscriptions,1525.86
102980467,2016-02,subscriptions,1802.31
102980467,2016-03,subscriptions,600.94
102980467,2016-03,transportation_fuel,68.0
102980467,2016-04,subscriptions,1118.71
102980467,2016-05,subscriptions,1636.9499999999998
102980467,2016-06,subscriptions,1762.9
102980467,2016-06,transportation_fuel,303.11
102980467,2016-07,subscriptions,1871.6
102980467,2016-08,shopping_retail,109.23
102980467,2016-08,subscriptions,947.77
102980467,2016-09,subscriptions,415.06
102980467,2016-09,transportation_fuel,129.41
102980467,2016-10,subscriptions,1448.8999999999999
102980467,2016-10,transportation_fuel,338.74
102980467,2016-11,subscriptions,618.26
102980467,2016-12,subscriptions,2370.56
104372944,2016-08,transportation_fuel,61.87
104372944,2016-09,transportation_fuel,101.65
104372944,2016-10,transportation_fuel,104.49000000000001
104372944,2016-11,transportation_fuel,153.79000000000002
104372944,2016-12,transportation_fuel,111.74000000000001
109363780,2016-05,transportation_fuel,27.85
109363780,2016-07,transportation_fuel,216.58
109363780,2016-08,transportation_fuel,730.9599999999999
109363780,2016-10,subscriptions,4.24
109363780,2016-11,subscriptions,4.24
109363780,2016-12,subscriptions,4.24
110443122,2016-01,shopping_retail,56.4
110443122,2016-01,travel,793.27
110443122,2016-02,dining_cafes,8.68
110443122,2016-02,travel,95.43
110443122,2016-03,dining_cafes,749.65
110443122,2016-03,shopping_retail,0.0
110443122,2016-03,transportation_fuel,105.61
110443122,2016-03,travel,343.45
110443122,2016-04,dining_cafes,494.99
110443122,2016-04,shopping_retail,81.1
110443122,2016-04,transportation_fuel,72.58
110443122,2016-04,travel,563.83
110443122,2016-05,dining_cafes,100.7
110443122,2016-05,shopping_retail,224.95
110443122,2016-05,transportation_fuel,50.26
110443122,2016-05,travel,0.0
110443122,2016-06,dining_cafes,411.35
110443122,2016-06,shopping_retail,426.47
110443122,2016-06,transportation_fuel,340.27
110443122,2016-06,travel,250.57
110443122,2016-07,dining_cafes,143.84
110443122,2016-07,transportation_fuel,156.15
110443122,2016-07,travel,433.63
110443122,2016-08,transportation_fuel,108.97999999999999
110443122,2016-09,dining_cafes,391.93
110443122,2016-09,transportation_fuel,100.52
110443122,2016-09,travel,568.99
110443122,2016-10,dining_cafes,248.13000000000002
110443122,2016-10,transportation_fuel,100.52
110443122,2016-10,travel,1618.3500000000001
110443122,2016-11,dining_cafes,0.0
110443122,2016-11,subscriptions,0.0
110443122,2016-11,transportation_fuel,104.11
110443122,2016-11,travel,205.91
110443122,2016-12,shopping_retail,601.2
110443122,2016-12,subscriptions,0.0
110443122,2016-12,transportation_fuel,115.05000000000001
110443122,2016-12,travel,581.36
110625245,2016-03,shopping_retail,141.65
110625245,2016-10,shopping_retail,60.47
110625245,2016-11,shopping_retail,81.99
111113489,2016-01,entertainment,5383.13
111113489,2016-02,dining_cafes,100.81
111113489,2016-02,entertainment,6142.68
111113489,2016-02,shopping_retail,73.13
111113489,2016-03,entertainment,3388.15
111113489,2016-04,entertainment,4920.87
111113489,2016-04,subscriptions,8.89
111113489,2016-05,entertainment,4638.71
111113489,2016-05,subscriptions,17.78
111113489,2016-06,entertainment,6355.34
111113489,2016-06,shopping_retail,23.85
111113489,2016-07,entertainment,3101.12
111113489,2016-07,shopping_retail,439.85
111113489,2016-07,subscriptions,8.89
111113489,2016-08,dining_cafes,302.73
111113489,2016-08,entertainment,4744.69
111113489,2016-08,subscriptions,8.89
111113489,2016-09,entertainment,5437.9
111113489,2016-09,shopping_retail,347.08000000000004
111113489,2016-09,subscriptions,8.89
111113489,2016-10,dining_cafes,6.32
111113489,2016-10,entertainment,3682.8
111113489,2016-10,shopping_retail,7.75
111113489,2016-10,subscriptions,8.89
111113489,2016-11,dining_cafes,76.04
111113489,2016-11,entertainment,3085.34
111113489,2016-11,subscriptions,8.89
111113489,2016-12,entertainment,3479.2599999999998
111113489,2016-12,subscriptions,8.89
111203726,2016-01,shopping_retail,484.38
111203726,2016-03,shopping_retail,865.3100000000001
111203726,2016-03,subscriptions,0.0
111203726,2016-04,shopping_retail,87.59
111203726,2016-06,shopping_retail,162.95999999999998
111203726,2016-07,shopping_retail,151.13
111203726,2016-08,shopping_retail,79.50999999999999
111203726,2016-08,transportation_fuel,209.95
111203726,2016-09,shopping_retail,433.23
111203726,2016-10,shopping_retail,257.73
111203726,2016-11,shopping_retail,839.5
111203726,2016-12,shopping_retail,473.72999999999996
112169253,2016-10,subscriptions,6.24
112169253,2016-11,subscriptions,6.24
112169253,2016-12,subscriptions,6.24
113104883,2016-01,dining_cafes,133.63
113104883,2016-01,subscriptions,4.69
113104883,2016-02,subscriptions,4.69
113104883,2016-03,dining_cafes,426.18
113104883,2016-03,subscriptions,4.69
113104883,2016-04,dining_cafes,410.24
113104883,2016-04,subscriptions,4.69
113104883,2016-05,subscriptions,4.69
113104883,2016-06,dining_cafes,322.33
113104883,2016-06,subscriptions,4.69
113104883,2016-07,subscriptions,20.13
113104883,2016-08,dining_cafes,172.25
113104883,2016-08,subscriptions,20.13
113104883,2016-09,dining_cafes,150.37
113104883,2016-09,subscriptions,20.13
113104883,2016-10,dining_cafes,591.6700000000001
113104883,2016-10,subscriptions,20.13
113104883,2016-11,dining_cafes,-200.28000000000003
113104883,2016-11,subscriptions,15.44
113104883,2016-12,subscriptions,20.13
114896048,2016-01,shopping_retail,3809.86
114896048,2016-01,transportation_fuel,2547.11
114896048,2016-02,dining_cafes,274.22
114896048,2016-02,healthcare,310.65
114896048,2016-02,shopping_retail,2022.24
114896048,2016-02,transportation_fuel,3589.16
114896048,2016-03,healthcare,712.99
114896048,2016-03,shopping_retail,2308.2799999999997
114896048,2016-03,transportation_fuel,1988.28
114896048,2016-04,healthcare,156.66
114896048,2016-04,shopping_retail,3424.39
114896048,2016-04,transportation_fuel,2197.14
114896048,2016-05,dining_cafes,156.69
114896048,2016-05,healthcare,766.51
114896048,2016-05,shopping_retail,3019.54
114896048,2016-05,subscriptions,7.7
114896048,2016-05,transportation_fuel,1905.6399999999999
114896048,2016-06,healthcare,103.86
114896048,2016-06,shopping_retail,2239.07
114896048,2016-06,subscriptions,7.7
114896048,2016-06,transportation_fuel,1545.78
114896048,2016-07,dining_cafes,307.81
114896048,2016-07,healthcare,1068.86
114896048,2016-07,shopping_retail,4698.48
114896048,2016-07,subscriptions,7.7
114896048,2016-07,transportation_fuel,2913.51
