accountNumber,ds,predicted_amount,lower_bound,upper_bound,method
100000001,2026-08,4782.6706100127585,4260.077239237885,5304.289774735062,prophet
100000001,2026-09,4773.070084182893,4235.43120557757,5257.011040716762,prophet
100000001,2026-10,4763.779252734636,4276.751108957293,5295.315551990111,prophet
100000001,2026-11,4754.17872690477,4208.698827401173,5253.699899303739,prophet
100000001,2026-12,4744.887895456513,4210.766421155498,5270.782283093385,prophet
100000001,2027-01,4735.287369626647,4226.511153900421,5269.7428761242545,prophet
100000002,2026-08,21139.341031904405,20224.054557759224,22052.920850374176,prophet
100000002,2026-09,21156.589565249775,20214.95013158599,22004.17759098074,prophet
100000002,2026-10,21173.28169429368,20320.284489289512,22104.229079909932,prophet
100000002,2026-11,21190.530227639047,20235.151157484725,22065.40439322371,prophet
100000002,2026-12,21207.222356682953,20271.753764732828,22128.30257595772,prophet
100000002,2027-01,21224.47089002832,20333.39637886626,22160.522024724698,prophet
100000003,2026-08,1687.9936914244668,1509.7017760298122,1865.9532364853812,prophet
100000003,2026-09,1689.7938443026826,1506.368876892602,1854.8987992988657,prophet
100000003,2026-10,1691.5359277332143,1525.3777092116432,1872.878866242086,prophet
100000003,2026-11,1693.3360806114301,1507.2359645506704,1863.7564893250537,prophet
100000003,2026-12,1695.0781640419616,1512.853293621885,1874.496365327655,prophet
100000003,2027-01,1696.8783169201774,1523.3004522837743,1879.2171307978101,prophet
100000004,2026-08,6372.165388802162,5578.77296545726,7164.078789118673,prophet
100000004,2026-09,6363.536306959242,5547.302048510181,7098.247288727169,prophet
100000004,2026-10,6355.185582595128,5615.787686070143,7162.155009501695,prophet
100000004,2026-11,6346.556500752208,5518.418139141939,7104.921103453527,prophet
100000004,2026-12,6338.205776388092,5527.311578195784,7136.609743590205,prophet
100000004,2027-01,6329.576694545174,5557.161238349216,7140.978015618486,prophet
100000005,2026-08,3560.078197893442,3127.18354533518,3992.1658586704953,prophet
100000005,2026-09,3551.1854476299472,3105.827721311295,3952.062045146697,prophet
