accountNumber,ds,category,amount
300000001,2024-07,salaries_wages,64281.12
300000001,2024-07,cogs_suppliers,39222.45
300000001,2024-07,rent_utilities,23117.61
300000001,2024-07,professional_services,3812.41
300000001,2024-07,licenses_fees,1872.75
300000001,2024-07,visa_iqama_costs,5000.0
300000001,2024-07,vat,26023.53
300000001,2024-07,loan_installments,11140.5
300000001,2024-08,salaries_wages,67160.81
300000001,2024-08,cogs_suppliers,39890.99
300000001,2024-08,rent_utilities,23715.57
300000001,2024-08,professional_services,3871.45
300000001,2024-08,licenses_fees,1872.75
300000001,2024-08,visa_iqama_costs,5000.0
300000001,2024-08,vat,24991.52
300000001,2024-08,loan_installments,11140.5
300000001,2024-09,salaries_wages,64865.73
300000001,2024-09,cogs_suppliers,44351.15
300000001,2024-09,rent_utilities,23339.25
300000001,2024-09,professional_services,3713.15
300000001,2024-09,licenses_fees,1872.75
300000001,2024-09,visa_iqama_costs,5000.0
300000001,2024-09,vat,26000.07
300000001,2024-09,loan_installments,11140.5
300000001,2024-10,salaries_wages,65755.98
300000001,2024-10,cogs_suppliers,43380.6
300000001,2024-10,rent_utilities,22373.54
300000001,2024-10,professional_services,4050.08
300000001,2024-10,licenses_fees,1872.75
300000001,2024-10,visa_iqama_costs,5000.0
300000001,2024-10,vat,26093.46
300000001,2024-10,loan_installments,11140.5
300000001,2024-11,salaries_wages,65535.18
300000001,2024-11,cogs_suppliers,41345.47
300000001,2024-11,rent_utilities,23489.72
300000001,2024-11,professional_services,3917.7
300000001,2024-11,licenses_fees,1872.75
300000001,2024-11,visa_iqama_costs,5000.0
300000001,2024-11,vat,25347.82
300000001,2024-11,loan_installments,11140.5
300000001,2024-12,salaries_wages,68826.97
300000001,2024-12,cogs_suppliers,44118.25
300000001,2024-12,rent_utilities,22626.1
300000001,2024-12,professional_services,3782.14
300000001,2024-12,licenses_fees,1872.75
300000001,2024-12,visa_iqama_costs,5000.0
300000001,2024-12,vat,25910.4
300000001,2024-12,loan_installments,11140.5
300000001,2025-01,salaries_wages,67490.24
300000001,2025-01,cogs_suppliers,42633.02
300000001,2025-01,rent_utilities,22895.17
300000001,2025-01,professional_services,3731.49
300000001,2025-01,licenses_fees,1872.75
300000001,2025-01,visa_iqama_costs,5000.0
300000001,2025-01,vat,24810.93
300000001,2025-01,loan_installments,11140.5
300000001,2025-02,salaries_wages,66981.1
300000001,2025-02,cogs_suppliers,43013.1
300000001,2025-02,rent_utilities,23499.7
300000001,2025-02,professional_services,3758.47
300000001,2025-02,licenses_fees,1872.75
300000001,2025-02,visa_iqama_costs,5000.0
300000001,2025-02,vat,24989.63
300000001,2025-02,loan_installments,11140.5
300000001,2025-03,salaries_wages,66288.67
300000001,2025-03,cogs_suppliers,44310.32
300000001,2025-03,rent_utilities,23801.71
300000001,2025-03,professional_services,3895.79
300000001,2025-03,licenses_fees,1872.75
300000001,2025-03,visa_iqama_costs,5000.0
300000001,2025-03,vat,26431.8
300000001,2025-03,loan_installments,11140.5
300000001,2025-04,salaries_wages,66381.64
300000001,2025-04,cogs_suppliers,45366.75
300000001,2025-04,rent_utilities,23580.79
300000001,2025-04,professional_services,3636.2
300000001,2025-04,licenses_fees,1872.75
300000001,2025-04,visa_iqama_costs,5000.0
300000001,2025-04,vat,27128.32
300000001,2025-04,loan_installments,11140.5
300000001,2025-05,salaries_wages,65156.68
300000001,2025-05,cogs_suppliers,43008.18
300000001,2025-05,rent_utilities,22746.87
300000001,2025-05,professional_services,4092.15
300000001,2025-05,licenses_fees,1872.75
300000001,2025-05,visa_iqama_costs,5000.0
300000001,2025-05,vat,26423.44
300000001,2025-05,loan_installments,11140.5
300000001,2025-06,salaries_wages,63778.61
300000001,2025-06,cogs_suppliers,44879.21
300000001,2025-06,rent_utilities,22691.91
300000001,2025-06,professional_services,3886.39
300000001,2025-06,licenses_fees,1872.75
300000001,2025-06,visa_iqama_costs,5000.0
300000001,2025-06,vat,25672.47
300000001,2025-06,loan_installments,11140.5
300000001,2025-07,salaries_wages,67047.22
300000001,2025-07,cogs_suppliers,47485.3
300000001,2025-07,rent_utilities,22679.17
300000001,2025-07,professional_services,3789.84
300000001,2025-07,licenses_fees,1872.75
300000001,2025-07,visa_iqama_costs,5000.0
300000001,2025-07,vat,27506.02
300000001,2025-07,loan_installments,11140.5
300000001,2025-08,salaries_wages,64316.09
300000001,2025-08,cogs_suppliers,46675.53
300000001,2025-08,rent_utilities,21957.38
300000001,2025-08,professional_services,3719.24
300000001,2025-08,licenses_fees,1872.75
300000001,2025-08,visa_iqama_costs,5000.0
300000001,2025-08,vat,28275.26
300000001,2025-08,loan_installments,11140.5
300000001,2025-09,salaries_wages,66911.44
300000001,2025-09,cogs_suppliers,47016.5
300000001,2025-09,rent_utilities,22606.93
300000001,2025-09,professional_services,3885.74
300000001,2025-09,licenses_fees,1872.75
300000001,2025-09,visa_iqama_costs,5000.0
300000001,2025-09,vat,28010.15
300000001,2025-09,loan_installments,11140.5
300000001,2025-10,salaries_wages,66602.94
300000001,2025-10,cogs_suppliers,46775.48
300000001,2025-10,rent_utilities,22391.03
300000001,2025-10,professional_services,3805.18
300000001,2025-10,licenses_fees,1872.75
300000001,2025-10,visa_iqama_costs,5000.0
300000001,2025-10,vat,28504.82
300000001,2025-10,loan_installments,11140.5
300000001,2025-11,salaries_wages,66642.8
300000001,2025-11,cogs_suppliers,43669.94
300000001,2025-11,rent_utilities,22568.15
300000001,2025-11,professional_services,3863.18
300000001,2025-11,licenses_fees,1872.75
300000001,2025-11,visa_iqama_costs,5000.0
300000001,2025-11,vat,27847.34
300000001,2025-11,loan_installments,11140.5
300000001,2025-12,salaries_wages,66878.31
300000001,2025-12,cogs_suppliers,48705.01
300000001,2025-12,rent_utilities,22909.39
300000001,2025-12,professional_services,3795.88
300000001,2025-12,licenses_fees,1872.75
300000001,2025-12,visa_iqama_costs,5000.0
300000001,2025-12,vat,28582.01
300000001,2025-12,loan_installments,11140.5
300000001,2026-01,salaries_wages,64089.81
300000001,2026-01,cogs_suppliers,43988.41
300000001,2026-01,rent_utilities,21783.12
300000001,2026-01,professional_services,3707.23
300000001,2026-01,licenses_fees,1872.75
300000001,2026-01,visa_iqama_costs,5000.0
300000001,2026-01,vat,28780.91
300000001,2026-01,loan_installments,11140.5
300000001,2026-02,salaries_wages,65500.83
300000001,2026-02,cogs_suppliers,92959.16
300000001,2026-02,rent_utilities,24195.29
300000001,2026-02,professional_services,3806.23
300000001,2026-02,licenses_fees,1872.75
300000001,2026-02,visa_iqama_costs,5000.0
300000001,2026-02,vat,29342.01
300000001,2026-02,loan_installments,11140.5
300000001,2026-03,salaries_wages,65728.82
300000001,2026-03,cogs_suppliers,47653.18
300000001,2026-03,rent_utilities,22125.98
300000001,2026-03,professional_services,3808.89
300000001,2026-03,licenses_fees,1872.75
300000001,2026-03,visa_iqama_costs,5000.0
300000001,2026-03,vat,29978.38
300000001,2026-03,loan_installments,11140.5
300000001,2026-04,salaries_wages,66573.44
300000001,2026-04,cogs_suppliers,46635.76
300000001,2026-04,rent_utilities,23218.72
300000001,2026-04,professional_services,3769.49
300000001,2026-04,licenses_fees,1872.75
300000001,2026-04,visa_iqama_costs,5000.0
300000001,2026-04,vat,30577.47
300000001,2026-04,loan_installments,11140.5
300000001,2026-05,salaries_wages,65301.07
300000001,2026-05,cogs_suppliers,46162.61
300000001,2026-05,rent_utilities,23214.06
300000001,2026-05,professional_services,3864.63
300000001,2026-05,licenses_fees,1872.75
300000001,2026-05,visa_iqama_costs,5000.0
300000001,2026-05,vat,27597.96
300000001,2026-05,loan_installments,11140.5
300000001,2026-06,salaries_wages,64648.98
300000001,2026-06,cogs_suppliers,51900.16
